0	167560477406
0.99	20398373
1.00	10500
1.04	50
1.20	10000
1.26	100
1.29	1000
1.49	293159
1.50	1000
1.59	10000
1.61	1000
1.70	2000
1.75	50
1.76	50
1.96	10
1.97	10000
1.99	4001131
10.00	21000
10.99	2000
109.99	1
11.99	220000
12.99	10400
13.99	100000
14.00	100
14.99	138060
15.46	1000
15.99	500
154.99	0
16.99	12000
17.99	10500
18.99	10000
19.40	1000
19.90	100
19.99	53020
2.00	560
2.49	2738831
2.50	10000
2.56	1000
2.59	10000
2.60	50
2.90	100000
2.95	10000
2.99	10411022
200.00	0
24.99	320200
25.99	10
28.99	1
29.99	54020
299.99	10000
3.02	100
3.04	10
3.08	1000
3.28	10000
3.49	211610
3.61	10
3.88	100
3.90	10000
3.95	200000
3.99	2239251
30.99	0
33.99	2000
37.99	1000
379.99	1000
389.99	10000
39.99	105
394.99	0
399.99	188100
4.29	1000
4.49	416600
4.59	100
4.60	5000
4.77	50000
4.80	10
4.84	1000
4.85	50
4.99	3634680
400.00	10000
46.99	10
5.00	100
5.49	21030
5.99	4779912
6.49	140
6.99	21143100
7.49	2000
7.99	132100
74.99	1000
79.99	2000
8.49	2000
8.99	200555
89.99	10
9.00	200000
9.99	495600
